Hanske : Katalog over privatarkiv og musikkmanuskripter	
	Hedengren, Olof G. til Broder Lysholm Krohg 1854.07.10 Merket "Oversættelse" (fra svensk).
	Hegge, Svein til Paul Sandvik 1921.09.01 Vedlegg.
	Heiberg, Andreas Michael til Frederik Thaarup 1810.11.21
	Heinesen, William til Einhart Lorenz 1968.11.15
	Heyerdahl, Hans til Oplandenes Kunstforening 1887.03.31
	Hilditch, Jacob til August Larsen 1899.01.16
	Holberg, Ludvig til Aage Rasmussen Hagen 1722.12.05 Faksimile fra auksjonskatalog, Arne Bruun Rasmussen, Kunstauktionen, Kbh., nr. 271, nov. 1971. Originalbrevet i Det kgl. bibliotek, Kbh. (se Meddelelser fra Rigsbibliotekaren 1973, nr. 1, s. 26).
	Holbæk-Hanssen, Synnøve Louise til Alfhild Thallaug Olsen 1941.01.22 Transkribering og informasjon om brevet vedligger. Krogness er pikenavnet til Synnøve L. Holbæk-Hanssen.
	Holmboe, Christopher Andreas til ukjent 1866.06.13 Adressert til"Høistærede Hr. Andersen"
	Holmboe, Christopher Andreas til ukjent 1874.05.30 Adressert til "Høistærede Hr. Kammerraad!"
	Holmboe, Christopher Andreas til Andreas Faye 1831.12.17
	Holmboe, Hans til Ditlev Johan Sverdfeger 1698 Svært usikker identifisering av avsender og mottaker, samt datering.
	Holmgren, Ann Margret til Erling Bjørnson 1928.11.19
	Holmgren, Ann Margret til Thekla Bjørnson 1936.05.03
	Holmgren, Ann Margret til Thekla Bjørnson 1936.12.18
	Hougen, Bjørn til Halvdan Koht 1964.11 Kladd.
